Dataset Name,Column 1,Column 2,Kolmogorov-Smirnov Test,question,difficulty
Crop Production Dataset,Nigeria,Pakistan,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Are the data distributions in Nigeria and Pakistan statistically indistinguishable?,medium
Crop Production Dataset,Nigeria,Pakistan,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Is there a notable discrepancy in the distribution frequency of Nigeria versus Pakistan?,medium
Crop Production Dataset,Nigeria,Pakistan,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",What is the extent of distributional similarity of Nigeria and Pakistan?,medium
Crop Production Dataset,Nigeria,Pakistan,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Are the distributions of Nigeria and Pakistan closely aligned?,medium
Crop Production Dataset,Nigeria,Pakistan,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",How similar are the distribution of Nigeria and Pakistan?,medium
Crop Production Dataset,Nigeria,Pakistan,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Are there observable differences in the distribution shapes of Nigeria and Pakistan?,medium
Crop Production Dataset,Nigeria,United States,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Are there observable differences in the distribution shapes of Nigeria and United States?,medium
Crop Production Dataset,Nigeria,United States,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Is there a notable discrepancy in the distribution frequency of Nigeria versus United States?,medium
Crop Production Dataset,Nigeria,United States,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Are the distributions of Nigeria and United States closely aligned?,medium
Crop Production Dataset,Nigeria,United States,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",How do the cumulative distributions of Nigeria and United States compare?,medium
Crop Production Dataset,Nigeria,United States,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Can we infer distributional equivalence of Nigeria and United States?,medium
Crop Production Dataset,Nigeria,United States,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Do Nigeria and United States follow the similar distribution curve?,medium
Crop Production Dataset,Nigeria,Brazil,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Is there a notable discrepancy in the distribution frequency of Nigeria versus Brazil?,medium
Crop Production Dataset,Nigeria,Brazil,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Is there a statistically significant difference in the data distribution of Nigeria compared to Brazil?,medium
Crop Production Dataset,Nigeria,Brazil,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Do Nigeria and Brazil follow the similar distribution curve?,medium
Crop Production Dataset,Nigeria,Brazil,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Are there observable differences in the distribution shapes of Nigeria and Brazil?,medium
Crop Production Dataset,Nigeria,Brazil,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Can we infer distributional equivalence of Nigeria and Brazil?,medium
Crop Production Dataset,Nigeria,Brazil,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Are the distributions of Nigeria and Brazil similar?,medium
Crop Production Dataset,Pakistan,United States,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Is there a statistically significant difference in the data distribution of Pakistan compared to United States?,medium
Crop Production Dataset,Pakistan,United States,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",How similar are the distribution of Pakistan and United States?,medium
Crop Production Dataset,Pakistan,United States,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Is there a notable discrepancy in the distribution frequency of Pakistan versus United States?,medium
Crop Production Dataset,Pakistan,United States,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Are the distributions of Pakistan and United States closely aligned?,medium
Crop Production Dataset,Pakistan,United States,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Do the distribution profiles of Pakistan and United States differ significantly?,medium
Crop Production Dataset,Pakistan,United States,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",What is the extent of distributional similarity of Pakistan and United States?,medium
Crop Production Dataset,Pakistan,Brazil,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Are the data distributions in Pakistan and Brazil statistically indistinguishable?,medium
Crop Production Dataset,Pakistan,Brazil,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Are the distributions of Pakistan and Brazil similar?,medium
Crop Production Dataset,Pakistan,Brazil,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Are there observable differences in the distribution shapes of Pakistan and Brazil?,medium
Crop Production Dataset,Pakistan,Brazil,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Are the distributions of Pakistan and Brazil closely aligned?,medium
Crop Production Dataset,Pakistan,Brazil,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",How to assess the alignment of distributions in Pakistan and Brazil?,medium
Crop Production Dataset,Pakistan,Brazil,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",How similar are the distribution of Pakistan and Brazil?,medium
Crop Production Dataset,Japan,United States,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",Is there a statistically significant difference in the data distribution of Japan compared to United States?,medium
Crop Production Dataset,Japan,United States,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",Is there a notable discrepancy in the distribution frequency of Japan versus United States?,medium
Crop Production Dataset,Japan,United States,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",Are the distributions of Japan and United States closely aligned?,medium
Crop Production Dataset,Japan,United States,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",Are there observable differences in the distribution shapes of Japan and United States?,medium
Crop Production Dataset,Japan,United States,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",Do Japan and United States follow the similar distribution curve?,medium
Crop Production Dataset,Japan,United States,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",What is the extent of distributional similarity of Japan and United States?,medium
Crop Production Dataset,Japan,Brazil,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",Do Japan and Brazil follow the similar distribution curve?,medium
Crop Production Dataset,Japan,Brazil,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",Can we infer distributional equivalence of Japan and Brazil?,medium
Crop Production Dataset,Japan,Brazil,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",How to assess the alignment of distributions in Japan and Brazil?,medium
Crop Production Dataset,Japan,Brazil,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",Is there a statistically significant difference in the data distribution of Japan compared to Brazil?,medium
Crop Production Dataset,Japan,Brazil,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",Is there a notable discrepancy in the distribution frequency of Japan versus Brazil?,medium
Crop Production Dataset,Japan,Brazil,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",How do the cumulative distributions of Japan and Brazil compare?,medium
Crop Production Dataset,Japan,Philippines,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",Do the distribution profiles of Japan and Philippines differ significantly?,medium
Crop Production Dataset,Japan,Philippines,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",How do the cumulative distributions of Japan and Philippines compare?,medium
Crop Production Dataset,Japan,Philippines,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",How similar are the distribution of Japan and Philippines?,medium
Crop Production Dataset,Japan,Philippines,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",How to assess the alignment of distributions in Japan and Philippines?,medium
Crop Production Dataset,Japan,Philippines,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",What is the extent of distributional similarity of Japan and Philippines?,medium
Crop Production Dataset,Japan,Philippines,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",Can the Kolmogorov-Smirnov test reveal any disparities between the distributions of Japan and Philippines?,medium
Crop Production Dataset,United States,Brazil,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Are the distributions of United States and Brazil closely aligned?,medium
Crop Production Dataset,United States,Brazil,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",How do the cumulative distributions of United States and Brazil compare?,medium
Crop Production Dataset,United States,Brazil,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",What is the extent of distributional similarity of United States and Brazil?,medium
Crop Production Dataset,United States,Brazil,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Are the data distributions in United States and Brazil statistically indistinguishable?,medium
Crop Production Dataset,United States,Brazil,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Is there a notable discrepancy in the distribution frequency of United States versus Brazil?,medium
Crop Production Dataset,United States,Brazil,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",How to assess the alignment of distributions in United States and Brazil?,medium
Crop Production Dataset,United States,Philippines,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Do United States and Philippines follow the similar distribution curve?,medium
Crop Production Dataset,United States,Philippines,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Do the distribution profiles of United States and Philippines differ significantly?,medium
Crop Production Dataset,United States,Philippines,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Is there a statistically significant difference in the data distribution of United States compared to Philippines?,medium
Crop Production Dataset,United States,Philippines,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Are the distributions of United States and Philippines similar?,medium
Crop Production Dataset,United States,Philippines,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Can we infer distributional equivalence of United States and Philippines?,medium
Crop Production Dataset,United States,Philippines,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",What is the extent of distributional similarity of United States and Philippines?,medium
Crop Production Dataset,Brazil,Philippines,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",How similar are the distribution of Brazil and Philippines?,medium
Crop Production Dataset,Brazil,Philippines,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",How to assess the alignment of distributions in Brazil and Philippines?,medium
Crop Production Dataset,Brazil,Philippines,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Is there a notable discrepancy in the distribution frequency of Brazil versus Philippines?,medium
Crop Production Dataset,Brazil,Philippines,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Can the Kolmogorov-Smirnov test reveal any disparities between the distributions of Brazil and Philippines?,medium
Crop Production Dataset,Brazil,Philippines,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",What is the extent of distributional similarity of Brazil and Philippines?,medium
Crop Production Dataset,Brazil,Philippines,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Can we infer distributional equivalence of Brazil and Philippines?,medium
Crop Production Dataset,Philippines,Myanmar,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Do the distribution profiles of Philippines and Myanmar differ significantly?,medium
Crop Production Dataset,Philippines,Myanmar,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Are the data distributions in Philippines and Myanmar statistically indistinguishable?,medium
Crop Production Dataset,Philippines,Myanmar,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",How do the cumulative distributions of Philippines and Myanmar compare?,medium
Crop Production Dataset,Philippines,Myanmar,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Are the distributions of Philippines and Myanmar closely aligned?,medium
Crop Production Dataset,Philippines,Myanmar,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Is there a statistically significant difference in the data distribution of Philippines compared to Myanmar?,medium
Crop Production Dataset,Philippines,Myanmar,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",How to assess the alignment of distributions in Philippines and Myanmar?,medium
Crop Production Dataset,Philippines,Thailand,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Do Philippines and Thailand follow the similar distribution curve?,medium
Crop Production Dataset,Philippines,Thailand,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Is there a statistically significant difference in the data distribution of Philippines compared to Thailand?,medium
Crop Production Dataset,Philippines,Thailand,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Are the data distributions in Philippines and Thailand statistically indistinguishable?,medium
Crop Production Dataset,Philippines,Thailand,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",What is the extent of distributional similarity of Philippines and Thailand?,medium
Crop Production Dataset,Philippines,Thailand,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Can we infer distributional equivalence of Philippines and Thailand?,medium
Crop Production Dataset,Philippines,Thailand,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Can the Kolmogorov-Smirnov test reveal any disparities between the distributions of Philippines and Thailand?,medium
Crop Production Dataset,Philippines,Vietnam,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Can the Kolmogorov-Smirnov test reveal any disparities between the distributions of Philippines and Vietnam?,medium
Crop Production Dataset,Philippines,Vietnam,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Are the distributions of Philippines and Vietnam closely aligned?,medium
Crop Production Dataset,Philippines,Vietnam,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Is there a statistically significant difference in the data distribution of Philippines compared to Vietnam?,medium
Crop Production Dataset,Philippines,Vietnam,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Is there a notable discrepancy in the distribution frequency of Philippines versus Vietnam?,medium
Crop Production Dataset,Philippines,Vietnam,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Are the data distributions in Philippines and Vietnam statistically indistinguishable?,medium
Crop Production Dataset,Philippines,Vietnam,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",How do the cumulative distributions of Philippines and Vietnam compare?,medium
Crop Production Dataset,Myanmar,Thailand,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",Are the distributions of Myanmar and Thailand closely aligned?,medium
Crop Production Dataset,Myanmar,Thailand,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",What is the extent of distributional similarity of Myanmar and Thailand?,medium
Crop Production Dataset,Myanmar,Thailand,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",Are the data distributions in Myanmar and Thailand statistically indistinguishable?,medium
Crop Production Dataset,Myanmar,Thailand,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",Is there a notable discrepancy in the distribution frequency of Myanmar versus Thailand?,medium
Crop Production Dataset,Myanmar,Thailand,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",Do the distribution profiles of Myanmar and Thailand differ significantly?,medium
Crop Production Dataset,Myanmar,Thailand,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",Do Myanmar and Thailand follow the similar distribution curve?,medium
Crop Production Dataset,Myanmar,Vietnam,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Are there observable differences in the distribution shapes of Myanmar and Vietnam?,medium
Crop Production Dataset,Myanmar,Vietnam,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Can the Kolmogorov-Smirnov test reveal any disparities between the distributions of Myanmar and Vietnam?,medium
Crop Production Dataset,Myanmar,Vietnam,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Do the distribution profiles of Myanmar and Vietnam differ significantly?,medium
Crop Production Dataset,Myanmar,Vietnam,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",What is the extent of distributional similarity of Myanmar and Vietnam?,medium
Crop Production Dataset,Myanmar,Vietnam,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Can we infer distributional equivalence of Myanmar and Vietnam?,medium
Crop Production Dataset,Myanmar,Vietnam,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",How to assess the alignment of distributions in Myanmar and Vietnam?,medium
Crop Production Dataset,Myanmar,Bangladesh,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Are the data distributions in Myanmar and Bangladesh statistically indistinguishable?,medium
Crop Production Dataset,Myanmar,Bangladesh,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Are the distributions of Myanmar and Bangladesh closely aligned?,medium
Crop Production Dataset,Myanmar,Bangladesh,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Are the distributions of Myanmar and Bangladesh similar?,medium
Crop Production Dataset,Myanmar,Bangladesh,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Is there a notable discrepancy in the distribution frequency of Myanmar versus Bangladesh?,medium
Crop Production Dataset,Myanmar,Bangladesh,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Do the distribution profiles of Myanmar and Bangladesh differ significantly?,medium
Crop Production Dataset,Myanmar,Bangladesh,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Are there observable differences in the distribution shapes of Myanmar and Bangladesh?,medium
Crop Production Dataset,Thailand,Vietnam,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",Are the distributions of Thailand and Vietnam similar?,medium
Crop Production Dataset,Thailand,Vietnam,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",Are the distributions of Thailand and Vietnam closely aligned?,medium
Crop Production Dataset,Thailand,Vietnam,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",How do the cumulative distributions of Thailand and Vietnam compare?,medium
Crop Production Dataset,Thailand,Vietnam,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",How to assess the alignment of distributions in Thailand and Vietnam?,medium
Crop Production Dataset,Thailand,Vietnam,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",Do Thailand and Vietnam follow the similar distribution curve?,medium
Crop Production Dataset,Thailand,Vietnam,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",Are there observable differences in the distribution shapes of Thailand and Vietnam?,medium
Crop Production Dataset,Thailand,Bangladesh,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Can we infer distributional equivalence of Thailand and Bangladesh?,medium
Crop Production Dataset,Thailand,Bangladesh,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",How do the cumulative distributions of Thailand and Bangladesh compare?,medium
Crop Production Dataset,Thailand,Bangladesh,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",How similar are the distribution of Thailand and Bangladesh?,medium
Crop Production Dataset,Thailand,Bangladesh,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",What is the extent of distributional similarity of Thailand and Bangladesh?,medium
Crop Production Dataset,Thailand,Bangladesh,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Can the Kolmogorov-Smirnov test reveal any disparities between the distributions of Thailand and Bangladesh?,medium
Crop Production Dataset,Thailand,Bangladesh,"{""p value"": 0.22857, ""conclusion"": ""Distribution not significantly different""}",Are the distributions of Thailand and Bangladesh similar?,medium
Crop Production Dataset,Vietnam,Bangladesh,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",Are the distributions of Vietnam and Bangladesh closely aligned?,medium
Crop Production Dataset,Vietnam,Bangladesh,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",Do the distribution profiles of Vietnam and Bangladesh differ significantly?,medium
Crop Production Dataset,Vietnam,Bangladesh,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",How to assess the alignment of distributions in Vietnam and Bangladesh?,medium
Crop Production Dataset,Vietnam,Bangladesh,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",Can the Kolmogorov-Smirnov test reveal any disparities between the distributions of Vietnam and Bangladesh?,medium
Crop Production Dataset,Vietnam,Bangladesh,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",Is there a statistically significant difference in the data distribution of Vietnam compared to Bangladesh?,medium
Crop Production Dataset,Vietnam,Bangladesh,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",Are there observable differences in the distribution shapes of Vietnam and Bangladesh?,medium
Crop Production Dataset,Indonesia,Bangladesh,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",Can we infer distributional equivalence of Indonesia and Bangladesh?,medium
Crop Production Dataset,Indonesia,Bangladesh,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",Are the distributions of Indonesia and Bangladesh similar?,medium
Crop Production Dataset,Indonesia,Bangladesh,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",Are there observable differences in the distribution shapes of Indonesia and Bangladesh?,medium
Crop Production Dataset,Indonesia,Bangladesh,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",How do the cumulative distributions of Indonesia and Bangladesh compare?,medium
Crop Production Dataset,Indonesia,Bangladesh,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",Are the distributions of Indonesia and Bangladesh closely aligned?,medium
Crop Production Dataset,Indonesia,Bangladesh,"{""p value"": 0.77143, ""conclusion"": ""Distribution not significantly different""}",Do the distribution profiles of Indonesia and Bangladesh differ significantly?,medium
Customer Personality Analysis Dataset,MntFruits,MntSweetProducts,"{""p value"": 0.99819, ""conclusion"": ""Distribution not significantly different""}",Can the Kolmogorov-Smirnov test reveal any disparities between the distributions of MntFruits and MntSweetProducts?,medium
Customer Personality Analysis Dataset,MntFruits,MntSweetProducts,"{""p value"": 0.99819, ""conclusion"": ""Distribution not significantly different""}",Do MntFruits and MntSweetProducts follow the similar distribution curve?,medium
Customer Personality Analysis Dataset,MntFruits,MntSweetProducts,"{""p value"": 0.99819, ""conclusion"": ""Distribution not significantly different""}",What is the extent of distributional similarity of MntFruits and MntSweetProducts?,medium
Customer Personality Analysis Dataset,MntFruits,MntSweetProducts,"{""p value"": 0.99819, ""conclusion"": ""Distribution not significantly different""}",Is there a statistically significant difference in the data distribution of MntFruits compared to MntSweetProducts?,medium
Customer Personality Analysis Dataset,MntFruits,MntSweetProducts,"{""p value"": 0.99819, ""conclusion"": ""Distribution not significantly different""}",Is there a notable discrepancy in the distribution frequency of MntFruits versus MntSweetProducts?,medium
Customer Personality Analysis Dataset,MntFruits,MntSweetProducts,"{""p value"": 0.99819, ""conclusion"": ""Distribution not significantly different""}",How similar are the distribution of MntFruits and MntSweetProducts?,medium
Dataset for Admission in the University,SOP,LOR ,"{""p value"": 0.64051, ""conclusion"": ""Distribution not significantly different""}",Can the Kolmogorov-Smirnov test reveal any disparities between the distributions of SOP and LOR ?,medium
Dataset for Admission in the University,SOP,LOR ,"{""p value"": 0.64051, ""conclusion"": ""Distribution not significantly different""}",Are the distributions of SOP and LOR  similar?,medium
Dataset for Admission in the University,SOP,LOR ,"{""p value"": 0.64051, ""conclusion"": ""Distribution not significantly different""}",Are the distributions of SOP and LOR  closely aligned?,medium
Dataset for Admission in the University,SOP,LOR ,"{""p value"": 0.64051, ""conclusion"": ""Distribution not significantly different""}",How do the cumulative distributions of SOP and LOR  compare?,medium
Dataset for Admission in the University,SOP,LOR ,"{""p value"": 0.64051, ""conclusion"": ""Distribution not significantly different""}",Are there observable differences in the distribution shapes of SOP and LOR ?,medium
Dataset for Admission in the University,SOP,LOR ,"{""p value"": 0.64051, ""conclusion"": ""Distribution not significantly different""}",Do SOP and LOR  follow the similar distribution curve?,medium
Exercise and Fitness Metrics Dataset,Dream Weight,Actual Weight,"{""p value"": 0.1217, ""conclusion"": ""Distribution not significantly different""}",How to assess the alignment of distributions in Dream Weight and Actual Weight?,medium
Exercise and Fitness Metrics Dataset,Dream Weight,Actual Weight,"{""p value"": 0.1217, ""conclusion"": ""Distribution not significantly different""}",How do the cumulative distributions of Dream Weight and Actual Weight compare?,medium
Exercise and Fitness Metrics Dataset,Dream Weight,Actual Weight,"{""p value"": 0.1217, ""conclusion"": ""Distribution not significantly different""}",Are the distributions of Dream Weight and Actual Weight similar?,medium
Exercise and Fitness Metrics Dataset,Dream Weight,Actual Weight,"{""p value"": 0.1217, ""conclusion"": ""Distribution not significantly different""}",Do Dream Weight and Actual Weight follow the similar distribution curve?,medium
Exercise and Fitness Metrics Dataset,Dream Weight,Actual Weight,"{""p value"": 0.1217, ""conclusion"": ""Distribution not significantly different""}",Are there observable differences in the distribution shapes of Dream Weight and Actual Weight?,medium
Exercise and Fitness Metrics Dataset,Dream Weight,Actual Weight,"{""p value"": 0.1217, ""conclusion"": ""Distribution not significantly different""}",Are the data distributions in Dream Weight and Actual Weight statistically indistinguishable?,medium
Income and Happiness Score Dataset,avg_income,median_income,"{""p value"": 0.19956, ""conclusion"": ""Distribution not significantly different""}",Are there observable differences in the distribution shapes of avg_income and median_income?,medium
Income and Happiness Score Dataset,avg_income,median_income,"{""p value"": 0.19956, ""conclusion"": ""Distribution not significantly different""}",How do the cumulative distributions of avg_income and median_income compare?,medium
Income and Happiness Score Dataset,avg_income,median_income,"{""p value"": 0.19956, ""conclusion"": ""Distribution not significantly different""}",Are the distributions of avg_income and median_income similar?,medium
Income and Happiness Score Dataset,avg_income,median_income,"{""p value"": 0.19956, ""conclusion"": ""Distribution not significantly different""}",Do avg_income and median_income follow the similar distribution curve?,medium
Income and Happiness Score Dataset,avg_income,median_income,"{""p value"": 0.19956, ""conclusion"": ""Distribution not significantly different""}",Is there a statistically significant difference in the data distribution of avg_income compared to median_income?,medium
